vessel,group,r_mm,n,measured_HU70,truth_HU70,measured_HU150,truth_HU150,sd_HU70
lad3,diseased,6.66796875,120,33.151010153690976,43.76916406141935,35.933240270614625,42.249068643855296,16.16815597266183
lad3,diseased,7.01953125,123,33.248107731826906,43.76916406141935,36.211924147799735,42.24906864385529,15.01554680324997
lad3,diseased,7.37109375,126,33.298472097941804,43.76916406141935,36.380381832047114,42.24906864385529,14.582495225556741
lad3,diseased,7.72265625,130,33.03292388549218,43.76916406141935,36.12125660089346,42.249068643855274,15.437166846696861
lad3,diseased,8.07421875,143,0.9966740408143797,-11.123381296784771,3.92018957654913,-12.597493130732225,121.00632647231929
lad3,diseased,8.42578125,148,-14.700483818311948,-25.18032365540596,-12.589652079182702,-26.642659963549132,162.66809723459122
lad3,diseased,8.77734375,158,-40.67914292480372,-50.62516868430256,-38.5248098313054,-52.06618980016654,207.97634598185655
lcx,healthy,-2.12109375,143,44.21298031040005,56.143879578919226,40.301213804658474,50.9349935789958,15.43136022749583
lcx,healthy,-1.76953125,368,41.5770747622718,56.14387957891929,37.90310807202173,50.934993578995694,14.216618707066539
lcx,healthy,-1.41796875,540,35.46605872887152,56.04690182097467,34.16508060362604,50.85809469678205,14.984128537580457
lcx,healthy,-1.06640625,687,26.075586228044447,55.36255222779637,27.08678557588197,50.31543708256135,16.015959116486226
lcx,healthy,-0.71484375,843,9.691314084532705,50.97230768285328,14.959529814470564,46.83417596346279,16.105221830878662
lcx,healthy,-0.36328125,1085,-12.32647219154692,43.59486832051142,-1.991389480713875,40.98420734606302,17.662651283952854
lcx,healthy,0.33984375,1185,-32.96234308154271,-72.21558667019701,-18.100545344121347,-49.94041715841562,19.4150044228119
lcx,healthy,0.69140625,1227,-48.08607950983926,-69.88845835114532,-29.83406497762761,-48.09071914401281,21.995220748399884
lcx,healthy,1.04296875,1314,-55.88474114536332,-67.86980481669205,-35.876753590241236,-46.49266331140662,25.053429094055907
lcx,healthy,1.39453125,1411,-58.594909152437154,-65.1622101403958,-37.92772884338482,-44.36127794645457,28.8975431960072
lcx,healthy,1.74609375,1470,-57.67883293596255,-60.171097941614796,-37.062249888692584,-40.396839634048064,33.50788700560347
lcx,healthy,2.09765625,1504,-55.06925482493132,-55.78484106447067,-34.944047421296226,-36.91293836701233,37.44921680224838
lcx,healthy,2.44921875,1514,-51.236474267478975,-52.087043568453204,-31.942501332359868,-33.979350296770356,40.70274063404989
lcx,healthy,2.80078125,1468,-46.6787256046277,-45.22901904662335,-28.3414682722384,-28.53189836268073,44.359510418498836
lcx,healthy,3.15234375,1458,-41.98893580090035,-40.05736529915471,-24.5139706314673,-24.42361826379499,47.44567309531776
lcx,healthy,3.50390625,1476,-37.76025766320022,-34.81826543586448,-20.981637814422932,-20.25970219495798,50.007279186271006
lcx,healthy,3.85546875,1467,-33.270119478203604,-27.40909860215767,-17.24630706120935,-14.370573227999378,52.13381559051985
